web_scraper_order,web_scraper_start_url,pagination,data,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,position,image
"1776113135-1","https://www.leafly.com/dispensary-info/redwood-roots/menu?page=2","","Blue Dream pod 0.5g","THC 500mg","$18.75","25% off","add to cart","New","Cartridge","by STIIIZY","CBD -","reg $25.00","(2)","2.5","$18.75","25% off","add to cart","reg $25.00","2","https://leafly-production.imgix.net/https%3A%2F%2Fleafly-public.s3.us-west-2.amazonaws.com%2Fproducts%2Fphotos%2FAmxUJWXTfqe9WfhD85Ig_AZ_OG_BLUE_DREAM_HG-3.png?dpr=2&h=115&fit=fillmax&s=790bb3cfe15ae3f84ed37bd0fda6a6a5"
"1776113135-2","https://www.leafly.com/dispensary-info/redwood-roots/menu?page=2","","Grandaddy Purp pod 0.5g","THC 500mg","$18.75","25% off","add to cart","New","Cartridge","by STIIIZY","CBD -","reg $25.00","(4)","5.0","$18.75","25% off","add to cart","reg $25.00","4","https://leafly-production.imgix.net/https%3A%2F%2Fleafly-public.s3.us-west-2.amazonaws.com%2Fproducts%2Fphotos%2FQ3ZtYhm9SICUC87hc64A_AZ_OG_GRANDDADDY_PURP_HG-3.png?dpr=2&h=115&fit=fillmax&s=91f1a921152273d839016df4c1017d5d"
"1776113135-3","https://www.leafly.com/dispensary-info/redwood-roots/menu?page=2","","Premium Jack pod 0.5g","THC -","$18.75","25% off","add to cart","New","Cartridge","by STIIIZY","CBD 0mg","reg $25.00","","","$18.75","25% off","add to cart","reg $25.00","","https://leafly-production.imgix.net/https%3A%2F%2Fimages.weedmaps.com%2Fphotos%2Fproducts%2F000%2F057%2F428%2F3304166_309428_PREMIUM_JACK_HG_2.png?dpr=2&h=115&fit=fillmax&s=ee66ed709ad99f608600c06745e691f9"
"1776113135-4","https://www.leafly.com/dispensary-info/redwood-roots/menu?page=2","","Pink Acai pod 0.5g","THC -","$18.75","25% off","add to cart","New","Cartridge","by STIIIZY","CBD 0mg","reg $25.00","","","$18.75","25% off","add to cart","reg $25.00","","https://leafly-production.imgix.net/https%3A%2F%2Fimages.weedmaps.com%2Fphotos%2Fproducts%2F000%2F456%2F531%2F3309327_1570728_AZ_OG_PINK_ACAI_HG-1.png?dpr=2&h=115&fit=fillmax&s=4355f1915b000bc8a56a2b8df312062c"
"1776113135-5","https://www.leafly.com/dispensary-info/redwood-roots/menu?page=2","","DO-SI-DOS pod 0.5g","THC 500mg","$18.75","25% off","add to cart","New","Cartridge","by STIIIZY","CBD -","reg $25.00","(2)","5.0","$18.75","25% off","add to cart","reg $25.00","2",""
"1776113135-6","https://www.leafly.com/dispensary-info/redwood-roots/menu?page=2","","OG KUSH .5G pod","THC 500mg","$18.75","25% off","add to cart","New","Cartridge","by STIIIZY","CBD -","reg $25.00","","","$18.75","25% off","add to cart","reg $25.00","",""
"1776113135-7","https://www.leafly.com/dispensary-info/redwood-roots/menu?page=2","","King Louis XIII Pod 0.5g","THC 500mg","$18.75","25% off","add to cart","New","Cartridge","by STIIIZY","CBD -","reg $25.00","","","$18.75","25% off","add to cart","reg $25.00","",""
"1776113135-8","https://www.leafly.com/dispensary-info/redwood-roots/menu?page=2","","PINK RUNTZ .5G Live Resin LQD Pod","THC 25%","$22.50","25% off","add to cart","New","Cartridge","by STIIIZY","CBD 0mg","reg $30.00","","","$22.50","25% off","add to cart","reg $30.00","",""
"1776113135-9","https://www.leafly.com/dispensary-info/redwood-roots/menu?page=2","","LEMON CHERRY GELATO .5G Live Resin LQD Pod","THC 20%","$22.50","25% off","add to cart","New","Cartridge","by STIIIZY","CBD 0mg","reg $30.00","","","$22.50","25% off","add to cart","reg $30.00","",""
"1776113135-10","https://www.leafly.com/dispensary-info/redwood-roots/menu?page=2","","PURPLE HAZE .5G Live Resin LQD Pod","THC 16%","$22.50","25% off","add to cart","New","Cartridge","by STIIIZY","CBD 0mg","reg $30.00","","","$22.50","25% off","add to cart","reg $30.00","",""
"1776113135-11","https://www.leafly.com/dispensary-info/redwood-roots/menu?page=2","","NORTHERN LIGHTS .5G Live Resin LQD Pod","THC 18%","$22.50","25% off","add to cart","New","Cartridge","by STIIIZY","CBD 0mg","reg $30.00","","","$22.50","25% off","add to cart","reg $30.00","",""
"1776113135-12","https://www.leafly.com/dispensary-info/redwood-roots/menu?page=2","","Do-si-dos All In One 1g","THC 1000mg","$30.00","25% off","add to cart","New","Cartridge","by STIIIZY","CBD -","reg $40.00","","","$30.00","25% off","add to cart","reg $40.00","",""
"1776113135-13","https://www.leafly.com/dispensary-info/redwood-roots/menu?page=2","","Blue Dream All In One 1g","THC 1000mg","$30.00","25% off","add to cart","New","Cartridge","by STIIIZY","CBD -","reg $40.00","","","$30.00","25% off","add to cart","reg $40.00","",""
"1776113135-14","https://www.leafly.com/dispensary-info/redwood-roots/menu?page=2","","Granddaddy Purp Pod - 1g","THC 1000mg","$30.00","25% off","add to cart","New","Cartridge","by STIIIZY","CBD -","reg $40.00","","","$30.00","25% off","add to cart","reg $40.00","",""
"1776113135-15","https://www.leafly.com/dispensary-info/redwood-roots/menu?page=2","","OG Kush All In One 1g","THC 1000mg","$30.00","25% off","add to cart","New","Cartridge","by STIIIZY","CBD -","reg $40.00","(1)","5.0","$30.00","25% off","add to cart","reg $40.00","1",""
"1776113135-16","https://www.leafly.com/dispensary-info/redwood-roots/menu?page=2","","King Louis XIII All In One 1g","THC 1000mg","$30.00","25% off","add to cart","New","Cartridge","by STIIIZY","CBD -","reg $40.00","","","$30.00","25% off","add to cart","reg $40.00","",""
"1776113135-17","https://www.leafly.com/dispensary-info/redwood-roots/menu?page=2","","Magic Melon pod 1g","THC 21%","$30.00","25% off","add to cart","New","Cartridge","by STIIIZY","CBD 0mg","reg $40.00","","","$30.00","25% off","add to cart","reg $40.00","",""
"1776113135-18","https://www.leafly.com/dispensary-info/redwood-roots/menu?page=2","","Premium Jack pod 1g","THC -","$30.00","25% off","add to cart","New","Cartridge","by STIIIZY","CBD 0mg","reg $40.00","","","$30.00","25% off","add to cart","reg $40.00","",""
